demand,item1,item2,item3,item4,item5,item6,item7,item8,item9,item10,item11,item12,item13,item14,item15,item16,item17,item18,item19,item20,item21,item22,item23,item24,item25,item26,item27,item28,item29,item30,item31,item32,item33,item34,item35,average,A
seller1,16,0,182,16,191,30,9,10,1,2,10,13,28,18,37,,,,,,,,,,,,,,,,,,,,,37.5,10
seller2,58,233,25,44,64,366,234,449,93,392,167,352,278,335,112,391,263,74,177,240,115,108,277,72,270,40,155,173,214,25,1144,358,304,80,259,226.9,392
seller3,5,0,0,7,6,0,5,10,4,0,4,2,0,87,15,11,0,9,,,,,,,,,,,,,,,,,,9.2,4
seller4,45,34,38,8,23,17,41,26,18,12,10,5,1,,,,,,,,,,,,,,,,,,,,,,,21.4,26
seller5,193,6,14,6,2,6,17,6,15,15,19,98,6,9,10,10,23,24,63,12,2,2,0,0,0,,,,,,,,,,,22.3,6
seller6,6,11,15,11,10,19,22,28,9,5,23,11,9,14,3,7,4,18,7,8,15,3,8,7,,,,,,,,,,,,11.4,6
seller7,68,34,103,49,174,37,80,20,72,124,52,107,30,30,41,30,15,31,47,25,44,,,,,,,,,,,,,,,57.8,174
seller8,22,11,30,94,45,102,22,83,34,38,153,24,93,80,30,50,71,135,53,7,20,258,427,11,164,184,213,19,8,8,,,,,,83,83
seller9,33,57,76,33,20,12,22,33,30,61,83,22,21,16,130,29,27,155,27,115,18,134,89,29,36,32,55,47,17,,,,,,,50.3,83
seller10,8,10,30,40,12,52,28,12,13,38,10,9,129,5,6,4,20,1,54,131,6,9,50,,,,,,,,,,,,,29.4,9